Condition (Python),Note
type == 'Guild raid' and difficulty == 'Hard',Hard guild raids always drop an additional void token. Must reach Minimum tier.
type == 'Guild raid' and difficulty == 'Legendary',Legendary guild raids always drop an additional void token. Must reach Minimum tier.
name == 'Secutor',Secutor always drops 1 Thiadoran Fig. Must reach Minimum tier.
name == 'Bone Dragon' and difficulty == 'Easy' and mode == 'raiding', Easy Bone Dragon always drops 1 stat point. Must reach Minimum tier.
name == 'Bone Dragon' and difficulty == 'Hard' and mode == 'raiding', Hard Bone Dragon always drops 2 stat points. Must reach Minimum tier.
name == 'Bone Dragon' and difficulty == 'Legendary' and mode == 'raiding', Legendary Bone Dragon always drops 4 stat points. Must reach Minimum tier.
name == 'Jagar the Red' and difficulty == 'Legendary' and mode == 'raiding',"On legendary difficulty, Jagar the Red drops a <u>unique</u> and <u>guaranteed</u> chest at max share for its summoner (level one of summoner's leftovers is needed)."
name == 'Xaphegorgh' and difficulty == 'Easy' and mode == 'raiding', Easy Xaphegorgh always drops x stat point. Must reach Minimum tier.
name == 'Xaphegorgh' and difficulty == 'Hard' and mode == 'raiding', Hard Xaphegorgh always drops x stat points. Must reach Minimum tier.
name == 'Xaphegorgh' and difficulty == 'Legendary' and mode == 'raiding', Legendary Xaphegorgh always drops x stat points. Must reach Minimum tier.
name == 'Xarbruutu' and difficulty == 'Easy' and mode == 'raiding', Easy Xarbruutu always drops x stat point. Must reach Minimum tier.
name == 'Xarbruutu' and difficulty == 'Hard' and mode == 'raiding', Hard Xarbruutu always drops x stat points. Must reach Minimum tier.
name == 'Xarbruutu' and difficulty == 'Legendary' and mode == 'raiding', Legendary Xarbruutu always drops x stat points. Must reach Minimum tier.
